                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.0022,                0.72171,                 1.2005,                0.84607,                0.79829,                0.83491,                0.47108,                 1.5628,                0.87222,                 1.7271,              0.0002576,              0.0002576,              0.0002576
                     91,                0.91336,                0.51603,                 1.1493,                 0.8613,                0.78485,                0.83031,                0.46717,                 1.5595,                 0.8658,                 1.7272,              0.0002378,              0.0002378,              0.0002378
                     92,                0.90442,                0.49806,                  1.148,                 0.8601,                0.79063,                0.83775,                0.47188,                 1.5388,                 0.8655,                 1.7155,               0.000218,               0.000218,               0.000218
                     93,                0.89524,                 0.4904,                  1.146,                0.87618,                0.80803,                 0.8472,                0.47839,                 1.5198,                0.86222,                 1.7037,              0.0001982,              0.0001982,              0.0001982
                     94,                0.87883,                0.47801,                  1.128,                 0.8817,                0.79601,                0.84686,                0.48167,                 1.5117,                 0.8498,                 1.6948,              0.0001784,              0.0001784,              0.0001784
                     95,                0.87009,                0.47868,                 1.1289,                0.86091,                0.80289,                0.84376,                0.48367,                 1.5161,                0.85296,                 1.6974,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.8622,                0.47328,                 1.1161,                0.85188,                0.80155,                0.84575,                0.48445,                 1.5132,                0.84277,                 1.6986,              0.0001388,              0.0001388,              0.0001388
                     97,                 0.8594,                0.46944,                 1.1177,                0.83785,                0.81916,                0.84643,                0.48512,                 1.5154,                0.84525,                 1.6994,               0.000119,               0.000119,               0.000119
                     98,                0.85132,                0.46093,                  1.113,                0.84324,                0.80931,                0.84504,                0.48567,                 1.5078,                0.84368,                 1.6958,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.84627,                0.45827,                 1.1086,                0.83704,                0.81486,                0.84471,                0.48649,                 1.4973,                0.84894,                 1.6875,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.83865,                0.45789,                 1.1089,                0.84794,                0.82222,                0.84599,                0.48619,                 1.4986,                0.84479,                 1.6903,               5.96e-05,               5.96e-05,               5.96e-05
